f, av, bv, cv, dv
135.50,2.253030e-01,9.353776e-04,-7.931610e-04,9.064476e-05
136.00,2.273389e-01,9.425975e-04,-8.003261e-04,9.149701e-05
136.50,2.293963e-01,9.498551e-04,-8.075663e-04,9.235982e-05
137.00,2.314759e-01,9.571509e-04,-8.148843e-04,9.323353e-05
137.50,2.335783e-01,9.644850e-04,-8.222826e-04,9.411851e-05
138.00,2.357044e-01,9.718580e-04,-8.297639e-04,9.501516e-05
138.50,2.378551e-01,9.792702e-04,-8.373312e-04,9.592389e-05
139.00,2.400311e-01,9.867222e-04,-8.449876e-04,9.684512e-05
139.50,2.422335e-01,9.942145e-04,-8.527362e-04,9.777933e-05
140.00,2.444631e-01,1.001748e-03,-8.605804e-04,9.872699e-05
140.50,2.467210e-01,1.009322e-03,-8.685238e-04,9.968863e-05
141.00,2.490083e-01,1.016938e-03,-8.765701e-04,1.006648e-04
141.50,2.513262e-01,1.024598e-03,-8.847235e-04,1.016561e-04
142.00,2.536758e-01,1.032300e-03,-8.929880e-04,1.026631e-04
142.50,2.560584e-01,1.040047e-03,-9.013682e-04,1.036864e-04
143.00,2.584754e-01,1.047838e-03,-9.098689e-04,1.047269e-04
143.50,2.609284e-01,1.055675e-03,-9.184952e-04,1.057852e-04
144.00,2.634187e-01,1.063559e-03,-9.272524e-04,1.068620e-04
144.50,2.659481e-01,1.071490e-03,-9.361462e-04,1.079583e-04
145.00,2.685184e-01,1.079470e-03,-9.451828e-04,1.090750e-04
145.50,2.711313e-01,1.087500e-03,-9.543688e-04,1.102129e-04
146.00,2.737890e-01,1.095581e-03,-9.637109e-04,1.113732e-04
146.50,2.764935e-01,1.103713e-03,-9.732168e-04,1.125568e-04
147.00,2.792472e-01,1.111899e-03,-9.828943e-04,1.137650e-04
147.50,2.820524e-01,1.120140e-03,-9.927519e-04,1.149990e-04
148.00,2.849119e-01,1.128437e-03,-1.002799e-03,1.162601e-04
148.50,2.878285e-01,1.136792e-03,-1.013045e-03,1.175498e-04
149.00,2.908051e-01,1.145207e-03,-1.023500e-03,1.188695e-04
149.50,2.938451e-01,1.153683e-03,-1.034176e-03,1.202210e-04
150.00,2.969519e-01,1.162222e-03,-1.045085e-03,1.216059e-04
150.50,3.001293e-01,1.170827e-03,-1.056240e-03,1.230262e-04
151.00,3.033815e-01,1.179500e-03,-1.067655e-03,1.244840e-04
151.50,3.067127e-01,1.188242e-03,-1.079344e-03,1.259814e-04
152.00,3.101278e-01,1.197058e-03,-1.091326e-03,1.275208e-04
152.50,3.136319e-01,1.205949e-03,-1.103616e-03,1.291048e-04
153.00,3.172305e-01,1.214919e-03,-1.116235e-03,1.307361e-04
153.50,3.209298e-01,1.223970e-03,-1.129203e-03,1.324177e-04
154.00,3.247363e-01,1.233107e-03,-1.142543e-03,1.341530e-04
154.50,3.286572e-01,1.242332e-03,-1.156279e-03,1.359455e-04
155.00,3.327002e-01,1.251651e-03,-1.170437e-03,1.377989e-04
155.50,3.368739e-01,1.261068e-03,-1.185048e-03,1.397175e-04
156.00,3.411876e-01,1.270586e-03,-1.200143e-03,1.417058e-04
156.50,3.456513e-01,1.280212e-03,-1.215756e-03,1.437689e-04
157.00,3.502764e-01,1.289952e-03,-1.231925e-03,1.459120e-04
157.50,3.550750e-01,1.299810e-03,-1.248692e-03,1.481413e-04
158.00,3.600605e-01,1.309794e-03,-1.266103e-03,1.504632e-04
158.50,3.652479e-01,1.319911e-03,-1.284209e-03,1.528848e-04
159.00,3.706535e-01,1.330169e-03,-1.303063e-03,1.554140e-04
159.50,3.762955e-01,1.340576e-03,-1.322728e-03,1.580595e-04
160.00,3.821938e-01,1.351142e-03,-1.343272e-03,1.608307e-04
160.50,3.883708e-01,1.361876e-03,-1.364769e-03,1.637384e-04
161.00,3.948512e-01,1.372790e-03,-1.387302e-03,1.667940e-04
161.50,4.016628e-01,1.383896e-03,-1.410965e-03,1.700107e-04
162.00,4.088365e-01,1.395208e-03,-1.435861e-03,1.734026e-04
162.50,4.164070e-01,1.406739e-03,-1.462104e-03,1.769860e-04
163.00,4.244132e-01,1.418505e-03,-1.489825e-03,1.807785e-04
163.50,4.328989e-01,1.430524e-03,-1.519169e-03,1.848003e-04
164.00,4.419138e-01,1.442815e-03,-1.550299e-03,1.890736e-04
164.50,4.515140e-01,1.455399e-03,-1.583401e-03,1.936235e-04
165.00,4.617634e-01,1.468298e-03,-1.618683e-03,1.984784e-04
165.50,4.727347e-01,1.481538e-03,-1.656382e-03,2.036700e-04
166.00,4.845112e-01,1.495144e-03,-1.696770e-03,2.092344e-04
166.50,4.971884e-01,1.509147e-03,-1.740154e-03,2.152124e-04
167.00,5.108766e-01,1.523578e-03,-1.786889e-03,2.216503e-04
167.50,5.257030e-01,1.538471e-03,-1.837381e-03,2.286009e-04
168.00,5.418159e-01,1.553861e-03,-1.892101e-03,2.361244e-04
168.50,5.593877e-01,1.569788e-03,-1.951592e-03,2.442898e-04
169.00,5.786211e-01,1.586291e-03,-2.016487e-03,2.531760e-04
169.50,5.997546e-01,1.603407e-03,-2.087526e-03,2.628738e-04
170.00,6.230706e-01,1.621176e-03,-2.165574e-03,2.734879e-04
170.50,6.489055e-01,1.639629e-03,-2.251652e-03,2.851388e-04
171.00,6.776623e-01,1.658793e-03,-2.346969e-03,2.979658e-04
171.50,7.098267e-01,1.678675e-03,-2.452960e-03,3.121298e-04
172.00,7.459886e-01,1.699262e-03,-2.571343e-03,3.278167e-04
172.50,7.868689e-01,1.720500e-03,-2.704181e-03,3.452409e-04
173.00,8.333560e-01,1.742271e-03,-2.853964e-03,3.646486e-04
173.50,8.865538e-01,1.764368e-03,-3.023718e-03,3.863207e-04
174.00,9.478468e-01,1.786433e-03,-3.217136e-03,4.105738e-04
174.50,1.018988e+00,1.807892e-03,-3.438754e-03,4.377575e-04
175.00,1.102220e+00,1.827824e-03,-3.694168e-03,4.682445e-04
175.50,1.200449e+00,1.844792e-03,-3.990320e-03,5.024063e-04
176.00,1.317480e+00,1.856550e-03,-4.335855e-03,5.405633e-04
176.50,1.458373e+00,1.859611e-03,-4.741571e-03,5.828854e-04
177.00,1.629953e+00,1.848561e-03,-5.220977e-03,6.292045e-04
177.50,1.841576e+00,1.815008e-03,-5.790937e-03,6.786618e-04
178.00,2.106293e+00,1.745973e-03,-6.472380e-03,7.290503e-04
178.50,2.442664e+00,1.621541e-03,-7.290935e-03,7.755921e-04
179.00,2.877609e+00,1.411705e-03,-8.277222e-03,8.086706e-04
179.50,3.450967e+00,1.073015e-03,-9.466282e-03,8.096557e-04
180.00,4.222744e+00,5.478432e-04,-1.089536e-02,7.433856e-04
180.50,5.284184e+00,-2.247731e-04,-1.259926e-02,5.453280e-04
181.00,6.772231e+00,-1.264003e-03,-1.460364e-02,1.024279e-04
181.50,8.877415e+00,-2.425346e-03,-1.691873e-02,-7.649537e-04
182.00,1.179740e+01,-3.181292e-03,-1.952917e-02,-2.278736e-03
182.50,1.548663e+01,-2.543092e-03,-2.233489e-02,-4.503680e-03
183.00,1.906023e+01,8.752596e-05,-2.518235e-02,-6.776469e-03
183.50,1.983718e+01,1.067740e-03,-2.618007e-02,-7.183455e-03
184.00,1.666416e+01,-2.115198e-03,-2.336179e-02,-5.173685e-03
184.50,1.296105e+01,-3.278815e-03,-2.072734e-02,-2.827722e-03
185.00,9.857315e+00,-2.773324e-03,-1.818322e-02,-1.101335e-03
185.50,7.568438e+00,-1.616078e-03,-1.587806e-02,-6.123738e-05
186.00,5.936907e+00,-4.750457e-04,-1.384905e-02,4.959290e-04
186.50,4.770104e+00,4.192017e-04,-1.210010e-02,7.634291e-04
187.00,3.921480e+00,1.052609e-03,-1.061685e-02,8.701457e-04
187.50,3.291422e+00,1.478834e-03,-9.372239e-03,8.920427e-04
188.00,2.813945e+00,1.757507e-03,-8.333497e-03,8.714941e-04
